Peak Name,Route Name,Region,Elevation (ft),Grade,Gain (ft),Distance (km),Max Angle,Season,Best Months,Key Hazards
Bonanza Peak,North Ridge,Wenatchee Mountains,9511,Class 2,3800,13.2,32,Jul-Oct,Jul-Sep,"Talus rockfall, Ridge exposure, Afternoon storms"
Bonanza Peak,West Ridge Approach,Wenatchee Mountains,9511,Class 2-3,4200,14.8,38,Jul-Oct,Aug-Sep,"Loose volcanic rock, Steep exposure, Weather"
Chelan Butte,Standard Route,Chelan Mountains,8157,Class 2,4200,12.0,30,Jul-Sep,Jul-Sep,"Scree descent, Trail washout, Exposure"
Keller Mountain,Northeast Ridge,East Cascades,8020,Class 2+,3500,11.5,35,Jul-Oct,Jul-Sep,"Stream crossing, Wet granite, Descent exposure"
Magic Mountain,South Slope Route,Chelan-Sawtooth,8067,Class 2,3800,11.0,28,Jul-Sep,Jul-Sep,"Talus stability, Afternoon heating, Route-finding"
Colchuck Peak,East Ridge (Non-Technical),Stuart Range,8705,Class 2-3,2800,7.5,36,Jul-Oct,Aug-Oct,"Ridge exposure, Loose rock, Electrical storms"
Denny Mountain,Standard Approach,Enchantments,8088,Class 2,2200,6.0,30,Aug-Sep,Aug-Sep,"Enchantments talus, Weather isolation, Creeks"
Cathedral Peak,West Slope Scramble,Enchantments,8300,Class 2+,2400,7.0,34,Aug-Oct,Aug-Sep,"Steep scrambling, Exposure, Loose rock"
Leprechaun Lake Peak,Northeast Slope,Enchantments,8401,Class 2,1900,5.5,28,Aug-Sep,Aug-Sep,"Enchantments talus, Weather, Snow persistence"
Jack Mountain,North Cascades Foothills Route,North Cascades Foothills,7840,Class 2,3400,10.0,30,Jul-Oct,Jul-Sep,"Stream crossing, Route-finding, Thunderstorms"
Mount Pilchuck,Classic Route via Pilchuck Lake,North Cascades Foothills,5324,Class 2,2600,8.5,28,Jul-Nov,Jul-Oct,"Loose talus descent, Thunderstorms, Crowds"
Whitehorse Mountain,South Ridge Route,North Cascades Foothills,6994,Class 2,3200,9.5,32,Aug-Sep,Aug-Sep,"Ridge exposure, Loose rock, Descent control"
Matterhorn Pass Peak,East Slope Approach,Pasayten Wilderness,7834,Class 2+,2800,11.0,35,Aug-Sep,Aug-Sep,"Remote wilderness, Routefinding, Avalanche terrain"
Glacier Peak,Cool Glacier Non-Technical Approach,North Cascades,10541,Class 2-3,6500,16.5,38,Aug-Sep,Aug-Sep,"CRITICAL: Crevasses, Altitude, Remote, Weather"
Miners Ridge Pass Peak,West Face Scramble,East Cascades,7456,Class 2,2600,8.0,30,Jul-Sep,Jul-Sep,"Talus stability, Weather, Creek crossing"
Teneriffe Mountain,East Slope Route,Central Washington,5029,Class 2,2600,7.5,28,Jul-Oct,Jul-Oct,"Loose talus, Trail footing, Thunderstorms"
Independence Peak,North Ridge Route,Central Cascades,7365,Class 2-3,3200,10.0,36,Aug-Oct,Aug-Sep,"Ridge exposure, Class 2-3 sections, Loose rock"
Crest Lake Peak,East Side Scramble,Alpine Lakes Wilderness,7540,Class 2,2100,5.5,28,Aug-Sep,Aug-Sep,"Talus, Weather changes, Alpine navigation"
Source Lake Peak,Northeast Ridge Route,Chelan-Sawtooth,7987,Class 2,3100,9.5,30,Jul-Oct,Jul-Sep,"Ridge exposure, Talus, Afternoon storms"
Snoqualmie Peak,West Slope Scramble,Central Cascades,6278,Class 2,2800,8.0,28,Jul-Nov,Jul-Oct,"Trail exposure, Talus, Thunderstorm risk"
